GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,flashcard.core,Flashcard,0,29,0,0,0,11,0,6,0,6
core,flashcard.core,Category,0,85,0,8,0,21,0,14,0,10
