GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server,flashcard.server,FirestoreInitializer,8,23,0,0,4,9,0,2,0,2
server,flashcard.server,FirestoreService,24,153,1,5,6,41,1,8,0,6
